date,AI,machine learning,ChatGPT,Bitcoin,Tesla,Netflix,Amazon,telehealth,mental health,fitness,inflation,recession,stock market,crypto
2023-07-30,21,1,13,4,6,30,72,0,2,7,11,2,14,20
2023-08-06,21,1,14,4,5,31,74,0,2,7,13,2,13,19
2023-08-13,21,1,13,5,6,29,74,0,2,7,13,3,16,20
2023-08-20,20,1,14,5,6,27,69,0,2,6,11,3,15,19
2023-08-27,20,1,16,4,6,31,71,0,2,7,12,2,15,18
2023-09-03,20,1,16,4,6,31,71,0,2,7,12,3,14,18
2023-09-10,20,1,17,4,6,28,70,0,2,6,15,2,13,16
2023-09-17,20,1,18,4,5,29,69,0,2,6,14,2,14,17
2023-09-24,23,1,18,4,6,28,70,0,2,6,13,3,15,17
2023-10-01,24,1,18,4,6,29,73,0,2,6,13,3,15,17
2023-10-08,23,1,19,4,5,30,86,0,3,6,13,2,15,16
2023-10-15,23,1,19,4,6,29,75,0,2,6,13,2,13,18
2023-10-22,22,1,18,6,5,27,74,0,2,6,13,3,15,21
2023-10-29,23,1,19,5,5,30,72,0,2,6,13,3,13,22
2023-11-05,24,1,21,5,5,28,80,0,2,6,13,3,14,24
2023-11-12,23,1,20,5,5,27,85,0,2,6,15,2,15,23
2023-11-19,25,1,20,5,5,27,91,0,2,7,12,2,14,23
2023-11-26,25,1,21,5,6,28,93,0,2,6,14,3,13,22
2023-12-03,25,1,21,8,6,29,89,0,2,6,14,3,15,29
2023-12-10,25,1,22,6,6,32,88,0,2,6,15,2,16,27
2023-12-17,22,1,16,6,6,31,85,0,1,6,12,2,16,29
2023-12-24,21,0,13,6,6,36,80,0,1,7,9,2,16,29
2023-12-31,23,0,15,7,5,36,77,0,1,9,11,2,15,31
2024-01-07,25,1,19,11,5,31,71,0,2,8,14,2,15,32
2024-01-14,27,1,19,6,5,32,67,0,2,8,13,2,18,27
2024-01-21,26,1,19,6,6,32,69,0,2,7,14,2,17,26
2024-01-28,26,1,19,5,6,31,69,0,2,8,14,2,16,25
2024-02-04,25,1,19,5,5,28,68,0,2,7,14,2,16,25
2024-02-11,26,1,19,7,5,32,66,0,2,7,18,7,17,29
2024-02-18,28,1,20,6,5,33,66,0,2,7,15,4,17,30
2024-02-25,27,1,21,11,5,32,65,0,2,7,15,3,16,41
2024-03-03,27,1,22,13,6,32,67,0,2,7,14,2,17,56
2024-03-10,28,1,21,11,5,30,63,0,2,7,15,2,16,52
2024-03-17,29,1,21,9,6,29,68,0,2,7,14,2,14,40
2024-03-24,29,1,19,8,6,32,66,0,2,7,13,2,17,43
2024-03-31,26,1,20,7,6,29,66,0,2,7,13,2,15,37
2024-04-07,27,1,20,8,6,28,66,0,2,7,16,2,16,36
2024-04-14,28,1,22,11,7,27,66,0,2,7,14,2,18,31
2024-04-21,27,1,23,6,8,29,64,0,2,6,14,2,13,29
2024-04-28,29,1,22,7,7,30,70,0,2,7,13,2,15,27
2024-05-05,28,1,22,5,6,28,67,0,2,6,13,2,13,25
2024-05-12,29,1,25,5,6,28,70,0,2,7,16,2,15,25
2024-05-19,30,1,25,6,6,29,64,0,2,7,14,2,15,28
2024-05-26,29,1,24,5,6,29,67,0,2,7,13,2,14,30
2024-06-02,30,1,26,5,6,29,65,0,2,7,12,2,19,31
2024-06-09,30,1,23,5,6,30,69,0,2,7,12,2,15,28
2024-06-16,29,1,21,4,6,27,67,0,2,6,11,2,16,27
2024-06-23,27,1,19,5,5,26,66,0,2,7,11,2,12,24
2024-06-30,27,1,18,5,6,27,65,0,2,7,10,1,14,25
2024-07-07,27,1,19,5,6,27,68,0,2,7,12,2,14,24
2024-07-14,26,1,19,6,6,27,94,0,2,7,12,2,17,28
2024-07-21,28,1,18,6,7,30,70,0,2,6,11,2,17,29
2024-07-28,27,1,19,5,5,26,68,0,2,7,12,3,18,25
2024-08-04,29,1,21,8,5,25,68,0,2,7,11,9,57,27
2024-08-11,29,1,23,5,6,27,68,0,2,7,14,3,18,23
2024-08-18,30,1,26,5,6,27,67,0,2,7,12,2,16,24
2024-08-25,32,1,27,5,5,28,68,0,2,7,12,2,15,24
2024-09-01,31,1,29,5,5,28,66,0,2,8,11,3,17,24
2024-09-08,32,1,32,4,5,26,65,0,2,7,14,3,16,22
2024-09-15,32,1,33,5,5,28,71,0,2,7,13,3,17,24
2024-09-22,33,1,36,5,5,29,67,0,2,6,12,2,14,26
2024-09-29,32,1,34,4,5,29,70,0,2,7,12,2,17,24
2024-10-06,33,1,37,4,7,29,73,0,3,6,13,2,16,22
2024-10-13,34,1,38,4,7,27,68,0,2,6,14,2,15,23
2024-10-20,34,1,41,4,7,27,64,0,2,6,12,2,15,23
2024-10-27,35,1,37,6,6,28,63,0,2,6,13,2,17,25
2024-11-03,34,1,44,9,8,27,66,0,2,6,16,2,28,32
2024-11-10,37,1,44,16,8,38,67,0,2,7,15,2,23,56
2024-11-17,37,1,44,13,7,28,76,0,2,7,13,2,18,56
2024-11-24,35,1,42,10,7,27,86,0,2,7,12,2,18,54
2024-12-01,36,1,43,12,7,28,83,0,2,7,12,2,16,70
2024-12-08,38,1,44,10,7,28,80,0,2,6,13,2,16,57
2024-12-15,36,1,37,11,7,30,78,0,2,6,12,2,20,52
2024-12-22,32,0,31,9,7,40,68,0,1,7,9,1,19,42
2024-12-29,33,0,28,8,8,41,68,0,1,10,9,1,20,43
2025-01-05,38,1,38,8,7,35,65,0,2,9,12,2,22,41
2025-01-12,37,1,39,8,6,31,62,0,2,9,14,2,18,50
2025-01-19,39,1,43,10,7,30,62,0,2,8,13,2,20,75
2025-01-26,42,1,44,8,7,30,60,0,2,8,13,2,27,48
2025-02-02,43,1,46,8,6,29,60,0,2,7,13,3,25,47
2025-02-09,42,1,46,6,7,28,60,0,2,7,15,2,17,36
2025-02-16,43,1,48,5,6,28,60,0,2,7,13,2,20,38
2025-02-23,44,1,49,8,7,27,60,0,2,7,13,3,24,39
2025-03-02,42,1,50,8,8,28,60,0,2,7,13,4,40,47
2025-03-09,43,1,49,7,14,27,59,0,2,7,14,12,43,32
2025-03-16,44,1,51,6,13,30,62,0,2,7,12,4,22,29
2025-03-23,45,1,54,5,11,28,61,0,2,7,12,4,21,27
2025-03-30,52,1,80,6,11,29,61,0,2,7,15,10,64,28
2025-04-06,42,1,64,7,10,26,60,0,2,7,13,13,100,29
2025-04-13,42,1,57,5,6,27,57,0,2,7,11,4,33,25
2025-04-20,45,1,60,6,8,28,61,0,2,7,11,4,29,26
2025-04-27,43,1,60,5,6,26,61,0,2,7,12,5,22,25
2025-05-04,41,1,64,5,6,25,59,0,2,7,10,3,22,28
2025-05-11,44,1,63,6,6,26,59,0,2,7,12,3,22,30
2025-05-18,46,1,68,7,6,27,67,0,2,8,11,3,19,28
2025-05-25,44,1,69,6,6,27,60,0,2,7,10,2,17,30
2025-06-01,45,1,67,5,8,27,62,0,3,8,10,3,16,27
2025-06-08,51,1,69,5,7,27,61,0,2,7,12,2,20,30
2025-06-15,47,1,65,5,6,26,61,0,2,7,10,2,20,26
2025-06-22,49,1,69,5,6,29,62,0,2,8,10,2,21,27
2025-06-29,53,1,64,5,6,26,61,0,2,7,10,2,18,25
2025-07-06,47,1,63,6,6,33,76,0,2,8,10,2,19,32
2025-07-13,47,1,66,8,7,30,66,0,2,8,13,2,19,48
2025-07-20,49,1,67,6,8,30,65,0,2,7,13,2,23,47
2025-07-27,51,1,68,6,7,30,68,0,2,8,17,2,31,46
2025-08-03,58,1,74,8,8,31,71,0,3,9,22,4,40,65
2025-08-10,67,2,71,11,8,30,70,0,3,9,36,4,46,97
2025-08-17,65,1,74,10,8,28,71,0,3,9,30,3,45,90
2025-08-24,58,1,76,8,8,29,69,0,3,8,25,3,36,71
2025-08-31,70,1,76,7,7,29,67,0,3,9,25,4,38,63
2025-09-07,87,1,81,7,8,27,68,0,4,8,34,4,37,71
2025-09-14,100,1,86,6,8,27,66,0,4,8,31,3,30,64
2025-09-21,91,1,81,7,8,28,71,1,4,8,33,3,34,73
2025-09-28,80,1,79,7,8,29,69,1,4,8,32,4,34,72
2025-10-05,78,1,78,9,8,30,79,0,4,8,28,3,37,71
2025-10-12,78,1,80,10,7,30,69,0,3,8,29,4,38,77
2025-10-19,75,1,79,8,7,30,74,0,3,8,29,3,34,60
2025-10-26,71,1,77,7,7,27,72,0,3,7,25,3,29,57
2025-11-02,71,1,82,8,7,26,73,0,3,8,25,4,34,56
2025-11-09,74,1,81,8,7,26,72,0,3,8,29,3,34,55
2025-11-16,74,1,82,13,7,27,82,0,4,8,30,4,39,59
2025-11-23,72,1,69,10,7,28,92,0,3,9,30,3,38,54
2025-11-30,72,1,73,10,7,31,83,0,4,9,35,3,35,58
2025-12-07,71,1,72,7,6,31,78,0,3,8,33,3,34,49
2025-12-14,67,1,66,7,7,29,79,0,3,8,31,3,30,46
2025-12-21,58,1,54,6,6,34,66,0,2,9,18,2,27,36
2025-12-28,57,1,52,6,6,36,65,0,2,10,18,2,28,35
2026-01-04,69,1,65,6,6,32,65,0,3,11,20,3,27,36
2026-01-11,69,1,69,6,6,29,63,0,3,10,23,3,29,39
2026-01-18,67,1,66,6,6,29,62,0,3,10,23,3,36,40
2026-01-25,66,2,69,7,7,30,62,0,4,10,24,4,35,44
2026-02-01,70,2,69,16,7,27,63,0,4,10,25,4,39,52
2026-02-08,69,2,68,11,6,26,60,0,4,10,25,5,32,43
2026-02-15,71,3,60,8,6,28,57,0,5,11,25,6,32,40
2026-02-22,77,2,66,9,6,26,57,0,5,10,26,5,36,41
2026-03-01,81,2,72,9,7,26,61,1,4,9,27,4,48,47
2026-03-08,86,2,72,8,7,27,64,1,4,9,31,5,43,43
2026-03-15,81,2,66,7,7,29,62,1,4,9,33,6,43,46
2026-03-22,86,3,68,7,8,28,65,1,4,10,41,6,43,44
2026-03-29,85,3,64,7,9,30,72,1,5,13,39,6,48,48
2026-04-05,87,3,65,7,9,29,70,1,4,13,34,5,40,50
2026-04-12,89,2,67,7,9,26,67,1,4,13,32,5,39,52
2026-04-19,88,2,70,6,8,25,64,0,4,12,28,5,37,45
2026-04-26,90,3,66,6,8,27,66,1,5,12,31,5,36,45
2026-05-03,69,1,69,5,6,23,57,0,3,10,14,3,20,43
2026-05-10,71,1,67,4,6,25,57,0,3,10,17,3,23,38
2026-05-17,67,1,52,3,5,34,52,0,2,7,14,2,12,41
