tmdb_id,name,original_name,popularity,vote_average,vote_count,release_date,origin_country,genre_ids,overview,poster_path,fetched_at
150028,Saved by the Bell,Saved by the Bell,375.69,6.5,2977,1994-09-01,"[""United States""]",[18],"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.",,2026-05-17T16:57:37.233652
150029,Stories by Rabindranath Tagore,Stories by Rabindranath Tagore,170.28,5.3,5251,2015-09-01,"[""India""]",[18],The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,,2026-05-17T16:57:37.235347
150030,Too Hot To Handle: Latino,Too Hot To Handle: Latino,156.83,6.7,839,2021-09-01,"[""US""]",[10764],"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",,2026-05-17T16:57:37.238108
150031,Jack Whitehall: Travels with My Father,Jack Whitehall: Travels with My Father,99.2,4.6,3565,2021-09-01,"[""United Kingdom""]",[18],"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",,2026-05-17T16:57:37.238330
150032,The World's Most Amazing Vacation Rentals,The World's Most Amazing Vacation Rentals,232.81,4.7,3704,2021-09-01,"[""US""]",[10764],"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",,2026-05-17T16:57:37.238461
150033,Yowamushi Pedal,Yowamushi Pedal,65.0,5.8,7904,2013-09-01,"[""Japan""]",[18],"A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.",,2026-05-17T16:57:37.238621
150034,Lucifer,Lucifer,75.24,8.4,9216,2021-09-01,"[""United States""]",[18],"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",,2026-05-17T16:57:37.238753
150035,Metal Shop Masters,Metal Shop Masters,168.15,7.0,2458,2021-09-01,"[""US""]",[10764],"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",,2026-05-17T16:57:37.238875
150036,Pokémon Master Journeys: The Series,Pokémon Master Journeys: The Series,93.37,6.0,235,2021-09-01,"[""US""]",[18],"As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!",,2026-05-17T16:57:37.238989
150037,Titipo Titipo,Titipo Titipo,111.84,6.2,4551,2019-09-01,"[""US""]",[18],Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.,,2026-05-17T16:57:37.239118
150038,Mighty Raju,Mighty Raju,91.2,7.1,3683,2017-09-01,"[""US""]",[18],"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!",,2026-05-17T16:57:37.239241
150039,Into the Night,Into the Night,124.08,3.2,8311,2021-09-01,"[""Belgium""]",[18],Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.,,2026-05-17T16:57:37.239360
150040,The Circle,The Circle,194.22,7.2,1088,2021-09-01,"[""United States""]",[10764],"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",,2026-05-17T16:57:37.239477
150041,Kid Cosmic,Kid Cosmic,140.8,4.8,1927,2021-09-01,"[""United States""]",[18],A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.,,2026-05-17T16:57:37.239630
150042,Octonauts: Above & Beyond,Octonauts: Above & Beyond,233.48,4.8,3967,2021-09-01,"[""United Kingdom""]",[18],"The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.",,2026-05-17T16:57:37.239794
150043,On the Verge,On the Verge,17.33,7.4,11526,2021-09-01,"[""France""]",[18],"Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.",,2026-05-17T16:57:37.239945
150044,Tobot Galaxy Detectives,Tobot Galaxy Detectives,72.62,6.8,1136,2019-09-01,"[""US""]",[18],"An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil.",,2026-05-17T16:57:37.240117
150045,Countdown: Inspiration4 Mission to Space,Countdown: Inspiration4 Mission to Space,14.57,7.4,923,2021-09-01,"[""US""]",[18],"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission.",,2026-05-17T16:57:37.242727
150046,Tayo the Little Bus,Tayo the Little Bus,43.9,5.4,2531,2016-09-01,"[""South Korea""]",[18],"As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day.",,2026-05-17T16:57:37.243053
150047,Bunk'd,Bunk'd,41.02,8.9,7360,2021-09-01,"[""United States""]",[18],"The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met.",,2026-05-17T16:57:37.243305
150048,Dive Club,Dive Club,111.92,7.7,4798,2021-09-01,"[""Australia""]",[18],"On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing.",,2026-05-17T16:57:37.243466
150049,La casa de papel,La casa de papel,268.96,5.0,3750,2021-09-01,"[""Spain""]",[18],Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.,,2026-05-17T16:57:37.243665
150050,Money Heist: From Tokyo to Berlin,Money Heist: From Tokyo to Berlin,243.86,4.5,676,2021-09-01,"[""US""]",[18],"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.",,2026-05-17T16:57:37.243837
150051,Sharkdog,Sharkdog,37.35,9.1,9996,2021-09-01,"[""United States""]",[18],"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure.",,2026-05-17T16:57:37.243991
150052,Heroes of Goo Jit Zu,Heroes of Goo Jit Zu,303.13,5.6,2095,2021-09-01,"[""Australia""]",[18],"After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers.",,2026-05-17T16:57:37.244151
150053,Hotel Del Luna,Hotel Del Luna,117.16,6.3,1549,2019-09-01,"[""US""]",[18],"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world.",,2026-05-17T16:57:37.244312
150054,Luv Kushh,Luv Kushh,372.21,9.0,3601,2012-09-01,"[""US""]",[18],"Based on the last book of the epic Ramayana, this series follows the endeavors and adventures of Lord Rama’s twin sons through their childhood.",,2026-05-17T16:57:37.244445
150055,Pororo - The Little Penguin,Pororo - The Little Penguin,187.52,8.1,2911,2013-09-01,"[""South Korea""]",[18],"On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur.",,2026-05-17T16:57:37.244617
150056,Q-Force,Q-Force,220.84,7.1,5042,2021-09-01,"[""United States""]",[18],"A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!",,2026-05-17T16:57:37.244788
150057,Brave Animated Series,Brave Animated Series,33.77,8.7,9413,2021-09-01,"[""US""]",[18],A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.,,2026-05-17T16:57:37.244928
150058,How to Be a Cowboy,How to Be a Cowboy,23.51,7.8,8355,2021-09-01,"[""US""]",[10764],"Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive — and now he's teaching the world how to cowboy right, ol' son.",,2026-05-17T16:57:37.245047
150059,HQ Barbers,HQ Barbers,178.08,6.9,2129,2020-09-01,"[""US""]",[18],"When a family run barber shop in the heart of Lagos is threatened by real estate developers, they'll do whatever it takes to stay in business.",,2026-05-17T16:57:37.245186
150060,Kid-E-Cats,Kid-E-Cats,433.51,8.4,3449,2016-09-01,"[""Russia""]",[18],"Cookie, Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning.",,2026-05-17T16:57:37.245308
150061,Kuroko's Basketball,Kuroko's Basketball,127.88,7.7,1077,2015-09-01,"[""Japan""]",[18],"Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory.",,2026-05-17T16:57:37.245425
150062,Major Dad,Major Dad,63.33,7.5,2884,1992-09-01,"[""United States""]",[18],"When he marries a journalist and becomes stepdad to her daughters, a U.S. Marine finds his once-orderly life no longer entirely under his command.",,2026-05-17T16:57:37.247746
150063,Oldsters,Oldsters,106.95,7.0,3932,2019-09-01,"[""US""]",[18],Three friends in their 70s step out of retirement to become a band of outlaws whose mission is to help those let down by the justice system.,,2026-05-17T16:57:37.248173
150064,Turning Point: 9/11 and the War on Terror,Turning Point: 9/11 and the War on Terror,383.75,5.2,2317,2021-09-01,"[""US""]",[18],"This unflinching series documents the 9/11 terrorist attacks, from Al Qaeda's roots in the 1980s to America's response, both at home and abroad.",,2026-05-17T16:57:37.248367
150065,Sparking Joy,Sparking Joy,190.6,4.5,4389,2021-09-01,"[""United States""]",[10764],"In this reality series, Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life — and shares her own world.",,2026-05-17T16:57:37.248575
150066,Hometown Cha-Cha-Cha,Hometown Cha-Cha-Cha,293.49,5.9,5084,2021-09-01,"[""US""]",[18],"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.",,2026-05-17T16:57:37.248758
150067,The Ingenuity of the Househusband,The Ingenuity of the Househusband,42.1,5.8,3524,2021-09-01,"[""US""]",[18],A tough guy with a knack for housework tackles household tasks with meticulous care in these comedic live-action vignettes.,,2026-05-17T16:57:37.248921
150068,Bread Barbershop,Bread Barbershop,250.52,6.7,2240,2020-09-01,"[""US""]",[18],"In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood.",,2026-05-17T16:57:37.249060
150069,D.P.,D.P.,115.28,6.4,2077,2021-09-01,"[""""]",[18],A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.,,2026-05-17T16:57:37.249242
150070,Deadly Sins,Deadly Sins,186.75,7.3,5733,2002-09-01,"[""US""]",[18],A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see who's worthy of inheriting his fortune.,,2026-05-17T16:57:37.249384
150071,I Heart Arlo,I Heart Arlo,123.36,7.9,2993,2021-09-01,"[""US""]",[18],It's a whole new world for Arlo and his one-of-a kind pals when they set out to restore a run-down New York City neighborhood — and make it their own.,,2026-05-17T16:57:37.249523
150072,King of Boys: The Return of the King,King of Boys: The Return of the King,122.29,6.0,4855,2021-09-01,"[""Nigeria""]",[18],"Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness.",,2026-05-17T16:57:37.254146
150073,Rebellion,Rebellion,80.75,6.5,2903,2016-09-01,"[""Ireland""]",[18],"As World War I rages, three women and their families in Dublin choose sides in the violent Easter Rising revolt against British rule.",,2026-05-17T16:57:37.254392
150074,RIDE ON TIME,RIDE ON TIME,318.13,4.6,4020,2021-09-01,"[""US""]",[18],Take a deep dive into the beautiful world of Japan's top male idol groups from number one producer Johnny's in this revealing docuseries.,,2026-05-17T16:57:37.254632
150075,Titletown High,Titletown High,106.22,7.8,3930,2021-09-01,"[""US""]",[10764],"In a Georgia town where football rules and winning is paramount, a high school team tackles romance, rivalries and real life while vying for a title.",,2026-05-17T16:57:37.254826
150076,EDENS ZERO,EDENS ZERO,393.47,9.4,8123,2021-09-01,"[""Japan""]",[18],"Aboard the Edens Zero, a lonely boy with the ability to control gravity embarks on an adventure to meet the fabled space goddess known as Mother.",,2026-05-17T16:57:37.254973
150077,Family Reunion,Family Reunion,29.98,5.5,6687,2021-09-01,"[""United States""]",[18],"When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways.",,2026-05-17T16:57:37.255130
150078,Clickbait,Clickbait,215.83,2.8,9848,2021-09-01,"[""US""]",[18],"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why.",,2026-05-17T16:57:37.255266
150079,John of God: The Crimes of a Spiritual Healer,John of God: The Crimes of a Spiritual Healer,104.92,5.4,1995,2021-09-01,"[""US""]",[18],"Idolized medium João Teixeira de Faria rises to international fame before horrifying abuse is revealed by survivors, prosecutors and the press.",,2026-05-17T16:57:37.255398
150080,Motel Makeover,Motel Makeover,266.07,6.4,3597,2021-09-01,"[""US""]",[10764],"Amid project pitfalls and a pandemic, besties-turned-business partners bring their design magic to a rundown motel and revamp it into a go-to getaway.",,2026-05-17T16:57:37.255518
150081,Open Your Eyes,Open Your Eyes,60.88,5.7,2218,2021-09-01,"[""US""]",[18],"After a tragic accident, an amnesiac teen tries to rebuild her life at a memory disorders center but becomes suspicious of her unconventional treatment.",,2026-05-17T16:57:37.258262
150082,Post Mortem: No One Dies in Skarnes,Post Mortem: No One Dies in Skarnes,87.14,4.1,3328,2021-09-01,"[""US""]",[18],"She's back from the dead and has a newfound thirst for blood. Meanwhile, her family's funeral parlor desperately needs more business. Hmm, what if...",,2026-05-17T16:57:37.258532
150083,Wheel of Fortune,Wheel of Fortune,25.33,7.4,6805,2019-09-01,"[""United States""]",[10764],"Pat Sajak and Vanna White host one of TV's most popular, long-running game shows, where players spin a wheel for prizes and solve mystery phrases.",,2026-05-17T16:57:37.258797
150084,Oggy Oggy,Oggy Oggy,220.71,8.9,4724,2021-09-01,"[""US""]",[18],Join adorable kitten Oggy and his cast of cat pals in a bright and colorful kitty world. They're always on the go for fun times and fantastic adventures!,,2026-05-17T16:57:37.258971
150085,Manifest,Manifest,530.48,3.1,2247,2021-09-01,"[""United States""]",[18],"When a plane mysteriously lands years after takeoff, the people onboard return to a world that has moved on without them and face strange, new realities.",,2026-05-17T16:57:37.259163
150086,Comedy Premium League,Comedy Premium League,38.13,5.6,8910,2021-09-01,"[""US""]",[18],"With satirical sketches, cheeky debates and blistering roasts, 16 of India’s wittiest entertainers compete in teams to be named the ultimate comedy champs.",,2026-05-17T16:57:37.259341
150087,Everything Will Be Fine,Everything Will Be Fine,106.43,6.5,4257,2021-09-01,"[""US""]",[18],A separated couple live together for their child's sake in this satirical dramedy about what it means to be a good parent and spouse in today's world.,,2026-05-17T16:57:37.259501
150088,Korean Cold Noodle Rhapsody,Korean Cold Noodle Rhapsody,161.19,8.3,4118,2021-09-01,"[""US""]",[18],"Refreshing and flavorful, naengmyeon is Korea's coolest summertime staple. A journey through its history begins, from how it's cooked to how it's loved.",,2026-05-17T16:57:37.260805
150089,The Chair,The Chair,138.3,9.5,3310,2021-09-01,"[""US""]",[18],"At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department.",,2026-05-17T16:57:37.261027
150090,Go! Go! Cory Carson,Go! Go! Cory Carson,297.91,6.1,1416,2021-09-01,"[""United States""]",[18],"Beep, beep – go, go! Buckle up for fun and adventure with adorable kid car Cory Carson as he explores the winding roads of Bumperton Hills.",,2026-05-17T16:57:37.261278
150091,The Defeated,The Defeated,290.68,8.1,2580,2020-09-01,"[""US""]",[18],"In 1946 Berlin, an American cop searches for his missing brother while helping a novice German policewoman fight the violent crimes engulfing the city.",,2026-05-17T16:57:37.261434
150092,Mother Goose Club,Mother Goose Club,21.25,5.2,670,2016-09-01,"[""United States""]",[18],Classic nursery rhymes and children's songs get a fresh twist in this high-energy program that helps kids learn as they dance and sing along.,,2026-05-17T16:57:37.261622
150093,Rascal Does Not Dream of Bunny Girl Senpai,Rascal Does Not Dream of Bunny Girl Senpai,52.94,5.1,1879,2018-09-01,"[""Japan""]",[18],"After experiencing ""puberty syndrome"" himself, high school pariah Sakuta keeps meeting girls suffering from it, including his sister and actor Mai.",,2026-05-17T16:57:37.263879
150094,The Creative Indians,The Creative Indians,118.87,4.4,8189,2020-09-01,"[""India""]",[18],"From chefs and comedians to filmmakers and fashion designers, India’s most notable imaginative minds share their artistic journeys.",,2026-05-17T16:57:37.264170
150095,Winx Club,Winx Club,56.0,5.5,2173,2015-09-01,"[""Italy""]",[18],"In this animated fantasy, a girl named Bloom befriends a band of fairies, then follows them into the secretive and dangerous ""Magical Dimension.""",,2026-05-17T16:57:37.264350
150096,Brand New Cherry Flavor,Brand New Cherry Flavor,263.6,8.1,5034,2021-09-01,"[""United States""]",[18],"A filmmaker heads to Hollywood in the early '90s to make her movie but tumbles down a hallucinatory rabbit hole of sex, magic, revenge — and kittens.",,2026-05-17T16:57:37.264493
150097,Fast & Furious Spy Racers,Fast & Furious Spy Racers,123.74,5.8,8430,2021-09-01,"[""United States""]",[18],A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.,,2026-05-17T16:57:37.266218
150098,Gone for Good,Gone for Good,65.95,6.2,4604,2021-09-01,"[""France""]",[18],"Ten years after losing two loved ones, a man is plunged into another dizzying mystery when his girlfriend vanishes. Based on a Harlan Coben novel.",,2026-05-17T16:57:37.266494
150099,Grace and Frankie,Grace and Frankie,236.79,7.0,4803,2021-09-01,"[""United States""]",[18],"They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series.",,2026-05-17T16:57:37.266745
150100,The Kingdom,The Kingdom,48.56,6.3,809,2021-09-01,"[""Argentina""]",[18],"After his running mate's murder, a controversial televangelist becomes Argentina's presidential candidate. But nothing about him is as holy as he seems.",,2026-05-17T16:57:37.266930
150101,Valeria,Valeria,62.61,5.9,2189,2021-09-01,"[""Spain""]",[18],"A writer in creative and marital crises finds support from three friends, who are also discovering themselves. Based on the novels by Elísabet Benavent.",,2026-05-17T16:57:37.267153
150102,AlRawabi School for Girls,AlRawabi School for Girls,200.09,7.3,2494,2021-09-01,"[""Jordan""]",[18],The bullied outcasts at prestigious Al Rawabi School for Girls plot a series of risky takedowns to get back at their tormentors.,,2026-05-17T16:57:37.267341
150103,Bake Squad,Bake Squad,230.28,4.7,3373,2021-09-01,"[""United States""]",[10764],Expert bakers elevate desserts with next-level ideas and epic execution. Now the battle is on to win over clients in need of very special sweets.,,2026-05-17T16:57:37.267505
150104,Gabby's Dollhouse,Gabby's Dollhouse,212.23,6.7,1017,2021-09-01,"[""United States""]",[18],"Cute cats, quirky crafts and colorful magic! Join kitty enthusiast Gabby and her sidekick Pandy Paws as they team up for a series of animated adventures.",,2026-05-17T16:57:37.269987
150105,I Need Romance,I Need Romance,182.85,6.6,3723,2021-09-01,"[""US""]",[18],"A workaholic who lost interest in romance reunites with an old flame and gifted music composer, who's determined to restore her belief in love.",,2026-05-17T16:57:37.270235
150106,Las muñecas de la mafia,Las muñecas de la mafia,299.98,6.6,3197,2018-09-01,"[""Colombia""]",[18],"Based on the book ""Las Fantásticas,"" this exciting telenovela follows the tumultuous lives of five women who get mixed up with the Mafia.",,2026-05-17T16:57:37.270415
150107,The Crowned Clown,The Crowned Clown,321.08,4.3,496,2019-09-01,"[""South Korea""]",[18],"Standing in for an unhinged Joseon king, a look-alike clown plays the part but increasingly becomes devoted to protecting the throne and the people.",,2026-05-17T16:57:37.270619
150108,SHAMAN KING,SHAMAN KING,47.19,6.1,2692,2021-09-01,"[""Japan""]",[18],"Medium Yoh Asakura enters a battle tournament held every 500 years, competing with other shamans in a bid to become the all-powerful Shaman King.",,2026-05-17T16:57:37.271959
150109,Hit & Run,Hit & Run,134.43,7.1,1088,2021-09-01,"[""Israel""]",[18],A man searching for the truth behind his wife's death becomes caught up in a dangerous web of secrets and intrigue stretching from New York to Tel Aviv.,,2026-05-17T16:57:37.272270
150110,Navarasa,Navarasa,133.18,5.2,1873,2021-09-01,"[""India""]",[18],"From amusement to awe, the nine human emotions of Indian aesthetic theory are explored in this anthology series.",,2026-05-17T16:57:37.272465
150111,Car Masters: Rust to Riches,Car Masters: Rust to Riches,318.99,7.4,3074,2021-09-01,"[""US""]",[10764],"The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks.",,2026-05-17T16:57:37.273823
150112,Cocaine Cowboys: The Kings of Miami,Cocaine Cowboys: The Kings of Miami,442.68,6.8,4638,2021-09-01,"[""United States""]",[18],Two childhood friends go from high school dropouts to the most powerful drug kingpins in Miami in this true story of a crime saga that spanned decades.,,2026-05-17T16:57:37.274057
150113,Control Z,Control Z,208.53,7.4,8078,2021-09-01,"[""Mexico""]",[18],"When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity.",,2026-05-17T16:57:37.274225
150114,Cooking With Paris,Cooking With Paris,32.17,5.2,4582,2021-09-01,"[""United States""]",[10764],"With an anyone-can-cook attitude, Paris Hilton adds her own flair to every dish. Fun is just one edible glitter bomb away on this unique cooking show.",,2026-05-17T16:57:37.274352
